"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","111","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","111","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"","2599","Лого Яндекса открывает Дзен в новой вкладке","tests","2026-02-18","passed","2026-02-18","TestLogoRedirect","test_logo_redirect","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","103","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"Полный e2e flow заказа с двумя точками входа и двумя наборами данных.","2010","Позитивный сценарий заказа самоката","tests","2026-02-18","passed","2026-02-18","TestOrderFlow","test_order_flow","",""
"","188","Лого Самоката возвращает на главную страницу","tests","2026-02-18","passed","2026-02-18","TestLogoRedirect","test_logo_redirect","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","115","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","112","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"Полный e2e flow заказа с двумя точками входа и двумя наборами данных.","1975","Позитивный сценарий заказа самоката","tests","2026-02-18","passed","2026-02-18","TestOrderFlow","test_order_flow","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","113","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","110","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
"Проверка текста ответа для каждого вопроса в разделе 'Вопросы о важном'.","108","FAQ: при клике на вопрос показывается корректный ответ","tests","2026-02-18","passed","2026-02-18","TestFaq","test_faq","",""
